Location,VHM0_Mean,VHM0_P95,VHM0_Max,VTPK_Mean,VTPK_P95,VTPK_Max,VMXL_Mean,VMXL_P95,VMXL_Max
Port Phillip Bay (Sheltered),0.52284837,1.0499999523162842,1.93,7.6056294,14.719999313354492,18.49,3.1095881,5.440000057220459,8.99
East of Otway NP (Open),2.0066051,3.2899999618530273,5.02,12.658891,16.139999389648438,22.84,3.1427507,5.604499793052671,8.809999
