Location,VHM0_Mean,VHM0_P95,VHM0_Max,VTPK_Mean,VTPK_P95,VTPK_Max,VMXL_Mean,VMXL_P95,VMXL_Max
South of Shanghai (Sheltered),0.39418977,0.8399999737739563,1.9699999,3.5374146,5.420000076293945,11.9,2.8315563,5.2489997625350915,9.26
North of Ningbo (Sheltered),0.36659494,0.9099999666213989,1.9399999,3.0518048,4.319999694824219,8.08,2.7856426,5.079999923706055,8.86
Xiangshan Harbor (Sheltered),0.33551812,0.699999988079071,1.56,4.3593197,9.09000015258789,12.57,2.7753062,5.029999732971191,9.04
South of Zhoushan (Open),0.3509054,0.7299999594688416,1.66,4.344944,8.1899995803833,11.99,2.7825804,5.069999694824219,8.929999
East of Zhoushan (Open),0.8208225,1.5799999237060547,3.86,6.6770263,11.869999885559082,19.99,2.8054216,5.119999885559082,8.88
