Location,VHM0_Mean,VHM0_P95,VHM0_Max,VTPK_Mean,VTPK_P95,VTPK_Max,VMXL_Mean,VMXL_P95,VMXL_Max
Tokyo Bay (Sheltered),0.33364338,0.8999999761581421,2.37,5.3474813,8.889999389648438,14.96,3.555567,7.049999713897705,10.55
Offshore Chiba (Open),1.3024647,2.259999990463257,5.12,8.94309,12.6899995803833,17.47,3.488067,6.929000067710873,10.03
Ise Bay (Sheltered),0.18751924,0.5099999904632568,1.43,4.993165,8.90999984741211,11.759999,3.5171638,7.139999866485596,10.99
South of Izu (Open),1.4563477,2.5799999237060547,4.13,8.262585,12.489999771118164,16.51,3.411275,6.744499874114989,9.849999
